FID,compriment_via,largura_via,velocid_limite,fluxo_carros,velocid_carros
166,33.71,2,50,461.5,47.75
167,33.71,2,50,461.5,47.75
168,33.71,2,50,461.5,47.75
169,33.71,2,50,461.5,47.75
170,84.71,4,50,276.5,23
171,84.71,4,50,276.5,23
172,84.71,4,50,276.5,23
173,84.71,4,50,276.5,23
174,84.71,4,50,276.5,23
175,84.71,4,50,276.5,23
176,84.71,4,50,276.5,23
177,84.71,4,50,276.5,23
178,84.71,4,50,276.5,23
179,84.71,4,50,276.5,23
180,84.71,4,50,276.5,23
181,84.71,4,50,276.5,23
182,48.82,1,50,603,32
183,75.03,2,50,168,14.666666666666666
184,75.03,2,50,168,14.666666666666666
185,75.03,2,50,168,14.666666666666666
186,75.03,2,50,168,14.666666666666666
187,20.82,4,50,307.5,33
188,20.82,4,50,307.5,33
189,20.82,4,50,307.5,33
190,20.82,4,50,307.5,33
191,20.82,4,50,307.5,33
192,20.82,4,50,307.5,33
193,16.05,4,30,740,35
194,16.05,4,30,740,35
195,22.18,2,50,271,43
196,22.18,2,50,271,43
197,62.32,4,30,732.5,42
198,62.32,4,30,732.5,42
199,62.32,4,30,732.5,42
200,62.32,4,30,732.5,42
201,397.28,2,60,620,51.5
202,397.28,2,60,620,51.5
203,146.53,4,50,332.5,41
204,146.53,4,50,332.5,41
205,18.77,3,50,417.2,37.6
206,18.77,3,50,417.2,37.6
207,18.77,3,50,417.2,37.6
208,18.77,3,50,417.2,37.6
209,18.77,3,50,417.2,37.6
210,18.77,3,50,417.2,37.6
211,26.24,2,50,295.5,30
212,26.24,2,50,295.5,30
213,26.24,2,50,295.5,30
214,56.01,2,50,295.5,30
215,56.01,2,50,295.5,30
216,56.01,2,50,295.5,30
217,97.23,2,50,290,55.5
218,97.23,2,50,290,55.5
219,70.2,2,50,539.5,38
220,70.2,2,50,539.5,38
221,21.28,4,30,732.5,42
222,21.28,4,30,732.5,42
223,50.65,4,50,364,61
224,50.65,4,50,364,61
225,115.19,6,50,479,52.5
226,115.19,6,50,479,52.5
227,76.13,2,50,248.5,40
228,76.13,2,50,248.5,40
229,28.76,2,50,168,14.666666666666666
230,28.76,2,50,168,14.666666666666666
231,97.98,2,50,477,44
232,146.62,2,50,426,26
233,146.62,2,50,426,26
234,28.84,4,30,242,30
235,28.84,4,30,242,30
236,5.82,4,50,250.66666666666663,35
237,5.82,4,50,250.66666666666663,35
238,5.82,4,50,250.66666666666663,35
239,5.82,4,50,250.66666666666663,35
240,5.82,4,50,250.66666666666663,35
241,5.82,4,50,250.66666666666663,35
242,96.77,2,50,483,50.5
243,96.77,2,50,483,50.5
244,122.38,3,50,241.6,51
245,122.38,3,50,241.6,51
246,122.38,3,50,241.6,51
247,24.25,4,30,242,30
248,24.25,4,30,242,30
249,22.51,2,50,248.5,40
250,22.51,2,50,248.5,40
251,43.69,4,30,740,35
252,43.69,4,30,740,35
253,128.48,3,50,417.2,37.6
254,128.48,3,50,417.2,37.6
255,128.48,3,50,417.2,37.6
256,128.48,3,50,417.2,37.6
257,128.48,3,50,417.2,37.6
258,128.48,3,50,417.2,37.6
259,42.18,1,50,603,32
260,45.8,1,30,249.5,23.5
261,45.8,1,30,249.5,23.5
262,22.32,1,50,603,32
263,10.92,4,50,307.5,33
264,10.92,4,50,307.5,33
265,10.92,4,50,307.5,33
266,10.92,4,50,307.5,33
267,10.92,4,50,307.5,33
268,10.92,4,50,307.5,33
269,41.37,2,50,271,43
270,41.37,2,50,271,43
271,24.02,1,30,249.5,23.5
272,24.02,1,30,249.5,23.5
273,40.77,1,50,603,32
274,16.03,2,50,250.66666666666663,35
275,16.03,2,50,250.66666666666663,35
276,16.03,2,50,250.66666666666663,35
277,16.03,2,50,250.66666666666663,35
278,16.03,2,50,250.66666666666663,35
279,16.03,2,50,250.66666666666663,35
280,140.77,2,50,317.5,57
281,140.77,2,50,317.5,57
282,27.59,2,50,248.5,40
283,27.59,2,50,248.5,40
284,92.97,2,50,284,44.25
285,92.97,2,50,284,44.25
286,92.97,2,50,284,44.25
287,92.97,2,50,284,44.25
288,209.16,2,30,214,42
289,209.16,2,30,214,42
290,78,2,50,248.5,40
291,78,2,50,248.5,40
292,241.63,2,50,355.5,62.5
293,241.63,2,50,355.5,62.5
294,96.79,2,50,603,32
295,130.27,2,50,614,45
296,130.27,2,50,614,45
297,79.79,2,50,449,44.5
298,40,2,50,272.5,68.5
299,40,2,50,272.5,68.5
300,39.11,2,50,272.5,68.5
301,39.11,2,50,272.5,68.5
302,50.9,5,50,423,38.5
303,50.9,5,50,423,38.5
304,49.09,2,50,182.5,14.5
305,49.09,2,50,182.5,14.5
306,19.13,3,50,340,49
307,19.13,3,50,340,49
308,19.13,3,50,340,49
309,58.58,5,50,423,38.5
310,58.58,5,50,423,38.5
311,81.22,5,50,423,38.5
312,81.22,5,50,423,38.5
313,102.36,2,50,452,45.5
314,102.36,2,50,452,45.5
315,79.74,3,50,328.3333333333333,49.333333333333336
316,79.74,3,50,328.3333333333333,49.333333333333336
317,79.74,3,50,328.3333333333333,49.333333333333336
318,149.58,4,50,370.6666666666667,44.666666666666664
319,149.58,4,50,370.6666666666667,44.666666666666664
320,149.58,4,50,370.6666666666667,44.666666666666664
321,149.58,4,50,370.6666666666667,44.666666666666664
322,149.58,4,50,370.6666666666667,44.666666666666664
323,149.58,4,50,370.6666666666667,44.666666666666664
324,78.06,3,50,328.3333333333333,49.333333333333336
325,78.06,3,50,328.3333333333333,49.333333333333336
326,78.06,3,50,328.3333333333333,49.333333333333336
327,281.48,3,50,309.6666666666667,56.666666666666664
328,281.48,3,50,309.6666666666667,56.666666666666664
329,281.48,3,50,309.6666666666667,56.666666666666664
330,175.17,3,50,355.6666666666667,47.333333333333336
331,175.17,3,50,355.6666666666667,47.333333333333336
332,175.17,3,50,355.6666666666667,47.333333333333336
333,199.21,2,50,354,39.166666666666664
334,199.21,2,50,354,39.166666666666664
335,199.21,2,50,354,39.166666666666664
336,172.76,2,30,346.25,33
337,172.76,2,30,346.25,33
338,172.76,2,30,346.25,33
339,172.76,2,30,346.25,33
340,12.67,3,30,313.3333333333333,32
341,12.67,3,30,313.3333333333333,32
342,12.67,3,30,313.3333333333333,32
343,84.24,4,50,332,37.2
344,84.24,4,50,332,37.2
345,84.24,4,50,332,37.2
346,84.24,4,50,332,37.2
347,84.24,4,50,332,37.2
348,84.24,4,50,332,37.2
349,109.95,3,30,319.2,42
350,109.95,3,30,319.2,42
351,109.95,3,30,319.2,42
352,109.95,3,30,319.2,42
353,109.95,3,30,319.2,42
354,111.57,3,30,319.2,42
355,111.57,3,30,319.2,42
356,111.57,3,30,319.2,42
357,111.57,3,30,319.2,42
358,111.57,3,30,319.2,42
359,159.43,2,50,199,22
360,159.43,2,50,199,22
361,180.85,2,50,199,22
362,180.85,2,50,199,22
363,188.03,2,50,199,22
364,188.03,2,50,199,22
365,213.28,4,30,740,35
366,213.28,4,30,740,35
367,109.19,2,50,330,26
368,109.19,2,50,330,26
369,159.47,4,30,242,30
370,159.47,4,30,242,30
371,20.38,4,50,307.5,33
372,20.38,4,50,307.5,33
373,20.38,4,50,307.5,33
374,20.38,4,50,307.5,33
375,20.38,4,50,307.5,33
376,20.38,4,50,307.5,33
377,13.66,2,50,355,36
378,13.66,2,50,355,36
379,36.74,2,50,355,36
380,36.74,2,50,355,36
381,28.6,3,50,355,36
382,28.6,3,50,355,36
