station,date,Latitude,Longitude,airT,ur
DIM,2025-03-03 00:00:00,-5.87995,-35.29499,24.9,NA
EAJ,2025-03-03 00:00:00,-5.88395,-35.36455,24.1,97.7
Extremoz,2025-03-03 00:00:00,-5.66732,-35.29729,26.3,NA
Felipe camarao,2025-03-03 00:00:00,-5.82232,-35.26118,23.6,83.3
IF Central,2025-03-03 00:00:00,-5.81187,-35.20221,27.4,85.3
IFZN,2025-03-03 00:00:00,-5.74779,-35.26025,27.6,75.6
Lagoa Azul,2025-03-03 00:00:00,-5.72888,-35.2489,27.2,NA
Parnamirim,2025-03-03 00:00:00,-5.93898,-35.266639,25.1,NA
Ponta Negra,2025-03-03 00:00:00,-5.87605,-35.17857,27.5,82.4
Oceanografia,2025-03-03 00:00:00,-5.79524,-35.18359,28.9,81.6
Alecrim,2025-03-03 01:00:00,-5.79807,-35.21727,27.3,78.6
DIM,2025-03-03 01:00:00,-5.87995,-35.29499,24.5,NA
EAJ,2025-03-03 01:00:00,-5.88395,-35.36455,23.5,98.2
Extremoz,2025-03-03 01:00:00,-5.66732,-35.29729,26.2,NA
Felipe camarao,2025-03-03 01:00:00,-5.82232,-35.26118,23.1,83.5
IF Central,2025-03-03 01:00:00,-5.81187,-35.20221,27.2,84.1
IFZN,2025-03-03 01:00:00,-5.74779,-35.26025,27.5,74.7
Lagoa Azul,2025-03-03 01:00:00,-5.72888,-35.2489,27,NA
Parnamirim,2025-03-03 01:00:00,-5.93898,-35.266639,24.3,NA
Ponta Negra,2025-03-03 01:00:00,-5.87605,-35.17857,27.5,81.3
Oceanografia,2025-03-03 01:00:00,-5.79524,-35.18359,28.2,81.6
Alecrim,2025-03-03 02:00:00,-5.79807,-35.21727,27.2,79
DIM,2025-03-03 02:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-03-03 02:00:00,-5.88395,-35.36455,22.9,98.6
Extremoz,2025-03-03 02:00:00,-5.66732,-35.29729,24.9,NA
Felipe camarao,2025-03-03 02:00:00,-5.82232,-35.26118,22.1,87.9
IF Central,2025-03-03 02:00:00,-5.81187,-35.20221,27,84.8
IFZN,2025-03-03 02:00:00,-5.74779,-35.26025,27.1,75.7
Lagoa Azul,2025-03-03 02:00:00,-5.72888,-35.2489,26.6,NA
Parnamirim,2025-03-03 02:00:00,-5.93898,-35.266639,23.9,NA
Ponta Negra,2025-03-03 02:00:00,-5.87605,-35.17857,27.1,82.1
Oceanografia,2025-03-03 02:00:00,-5.79524,-35.18359,28.3,82.2
Alecrim,2025-03-03 03:00:00,-5.79807,-35.21727,26.7,81
DIM,2025-03-03 03:00:00,-5.87995,-35.29499,23.7,NA
EAJ,2025-03-03 03:00:00,-5.88395,-35.36455,22.4,99
Extremoz,2025-03-03 03:00:00,-5.66732,-35.29729,24.4,NA
Felipe camarao,2025-03-03 03:00:00,-5.82232,-35.26118,24.8,90.3
IF Central,2025-03-03 03:00:00,-5.81187,-35.20221,26.9,86.1
IFZN,2025-03-03 03:00:00,-5.74779,-35.26025,25.5,83.7
Lagoa Azul,2025-03-03 03:00:00,-5.72888,-35.2489,25.3,NA
Parnamirim,2025-03-03 03:00:00,-5.93898,-35.266639,23.9,NA
Ponta Negra,2025-03-03 03:00:00,-5.87605,-35.17857,25.8,89.5
Oceanografia,2025-03-03 03:00:00,-5.79524,-35.18359,28.2,82.9
Alecrim,2025-03-03 04:00:00,-5.79807,-35.21727,25.6,87.1
DIM,2025-03-03 04:00:00,-5.87995,-35.29499,23.7,NA
EAJ,2025-03-03 04:00:00,-5.88395,-35.36455,22.4,99.2
Extremoz,2025-03-03 04:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-03 04:00:00,-5.82232,-35.26118,24.7,90.9
IF Central,2025-03-03 04:00:00,-5.81187,-35.20221,25.5,92.4
IFZN,2025-03-03 04:00:00,-5.74779,-35.26025,25,85
Lagoa Azul,2025-03-03 04:00:00,-5.72888,-35.2489,24.6,NA
Parnamirim,2025-03-03 04:00:00,-5.93898,-35.266639,23.8,NA
Ponta Negra,2025-03-03 04:00:00,-5.87605,-35.17857,24.9,92.4
Oceanografia,2025-03-03 04:00:00,-5.79524,-35.18359,26.9,85.8
Alecrim,2025-03-03 05:00:00,-5.79807,-35.21727,25.3,88.1
DIM,2025-03-03 05:00:00,-5.87995,-35.29499,23.6,NA
EAJ,2025-03-03 05:00:00,-5.88395,-35.36455,22.2,99.4
Extremoz,2025-03-03 05:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-03 05:00:00,-5.82232,-35.26118,24.6,91
IF Central,2025-03-03 05:00:00,-5.81187,-35.20221,25.3,93.5
IFZN,2025-03-03 05:00:00,-5.74779,-35.26025,25,85.1
Lagoa Azul,2025-03-03 05:00:00,-5.72888,-35.2489,24.7,NA
Parnamirim,2025-03-03 05:00:00,-5.93898,-35.266639,23.8,NA
Ponta Negra,2025-03-03 05:00:00,-5.87605,-35.17857,24.7,92.8
Oceanografia,2025-03-03 05:00:00,-5.79524,-35.18359,26.2,89.2
Alecrim,2025-03-03 06:00:00,-5.79807,-35.21727,25.4,87.1
DIM,2025-03-03 06:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-03-03 06:00:00,-5.88395,-35.36455,22.5,99.6
Extremoz,2025-03-03 06:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-03 06:00:00,-5.82232,-35.26118,24.6,90.8
IF Central,2025-03-03 06:00:00,-5.81187,-35.20221,25.2,93.4
IFZN,2025-03-03 06:00:00,-5.74779,-35.26025,25.1,84.8
Lagoa Azul,2025-03-03 06:00:00,-5.72888,-35.2489,24.7,NA
Parnamirim,2025-03-03 06:00:00,-5.93898,-35.266639,24.3,NA
Ponta Negra,2025-03-03 06:00:00,-5.87605,-35.17857,24.8,91.6
Oceanografia,2025-03-03 06:00:00,-5.79524,-35.18359,26.3,88.2
Alecrim,2025-03-03 07:00:00,-5.79807,-35.21727,27.4,76.9
DIM,2025-03-03 07:00:00,-5.87995,-35.29499,25.8,NA
EAJ,2025-03-03 07:00:00,-5.88395,-35.36455,25.9,90.9
Extremoz,2025-03-03 07:00:00,-5.66732,-35.29729,28.1,NA
Felipe camarao,2025-03-03 07:00:00,-5.82232,-35.26118,25.8,85.9
IF Central,2025-03-03 07:00:00,-5.81187,-35.20221,26.1,89.6
IFZN,2025-03-03 07:00:00,-5.74779,-35.26025,28.5,71.5
Lagoa Azul,2025-03-03 07:00:00,-5.72888,-35.2489,26.6,NA
Parnamirim,2025-03-03 07:00:00,-5.93898,-35.266639,30.1,NA
Ponta Negra,2025-03-03 07:00:00,-5.87605,-35.17857,25.7,89
Oceanografia,2025-03-03 07:00:00,-5.79524,-35.18359,28.6,80.2
Alecrim,2025-03-03 08:00:00,-5.79807,-35.21727,30.7,65.9
DIM,2025-03-03 08:00:00,-5.87995,-35.29499,28.2,NA
EAJ,2025-03-03 08:00:00,-5.88395,-35.36455,33.3,60.5
Extremoz,2025-03-03 08:00:00,-5.66732,-35.29729,32.1,NA
Felipe camarao,2025-03-03 08:00:00,-5.82232,-35.26118,31.4,67.5
IF Central,2025-03-03 08:00:00,-5.81187,-35.20221,28.3,82.7
IFZN,2025-03-03 08:00:00,-5.74779,-35.26025,30.3,68.5
Lagoa Azul,2025-03-03 08:00:00,-5.72888,-35.2489,28.9,NA
Parnamirim,2025-03-03 08:00:00,-5.93898,-35.266639,31.4,NA
Ponta Negra,2025-03-03 08:00:00,-5.87605,-35.17857,27.6,82.1
Oceanografia,2025-03-03 08:00:00,-5.79524,-35.18359,30,76.6
Alecrim,2025-03-03 09:00:00,-5.79807,-35.21727,32.2,58.3
DIM,2025-03-03 09:00:00,-5.87995,-35.29499,30.8,NA
EAJ,2025-03-03 09:00:00,-5.88395,-35.36455,34.8,59.7
Extremoz,2025-03-03 09:00:00,-5.66732,-35.29729,33.6,NA
Felipe camarao,2025-03-03 09:00:00,-5.82232,-35.26118,30.6,65.5
IF Central,2025-03-03 09:00:00,-5.81187,-35.20221,33.9,67.8
IFZN,2025-03-03 09:00:00,-5.74779,-35.26025,31.6,59.3
Lagoa Azul,2025-03-03 09:00:00,-5.72888,-35.2489,30.4,NA
Parnamirim,2025-03-03 09:00:00,-5.93898,-35.266639,33.3,NA
Ponta Negra,2025-03-03 09:00:00,-5.87605,-35.17857,29.3,76.5
Oceanografia,2025-03-03 09:00:00,-5.79524,-35.18359,34.3,67.4
Alecrim,2025-03-03 10:00:00,-5.79807,-35.21727,33.5,55.9
DIM,2025-03-03 10:00:00,-5.87995,-35.29499,32.8,NA
EAJ,2025-03-03 10:00:00,-5.88395,-35.36455,36.5,53.8
Extremoz,2025-03-03 10:00:00,-5.66732,-35.29729,34.5,NA
Felipe camarao,2025-03-03 10:00:00,-5.82232,-35.26118,31.1,65.1
IF Central,2025-03-03 10:00:00,-5.81187,-35.20221,34.9,65.8
IFZN,2025-03-03 10:00:00,-5.74779,-35.26025,32.1,56.1
Lagoa Azul,2025-03-03 10:00:00,-5.72888,-35.2489,32,NA
Parnamirim,2025-03-03 10:00:00,-5.93898,-35.266639,34.9,NA
Ponta Negra,2025-03-03 10:00:00,-5.87605,-35.17857,32,69.3
Oceanografia,2025-03-03 10:00:00,-5.79524,-35.18359,34.7,65.2
Alecrim,2025-03-03 11:00:00,-5.79807,-35.21727,33.1,59
DIM,2025-03-03 11:00:00,-5.87995,-35.29499,34.6,NA
EAJ,2025-03-03 11:00:00,-5.88395,-35.36455,36.3,54.3
Extremoz,2025-03-03 11:00:00,-5.66732,-35.29729,34.8,NA
Felipe camarao,2025-03-03 11:00:00,-5.82232,-35.26118,32,57.9
IF Central,2025-03-03 11:00:00,-5.81187,-35.20221,33.6,67.7
IFZN,2025-03-03 11:00:00,-5.74779,-35.26025,32.2,57.6
Lagoa Azul,2025-03-03 11:00:00,-5.72888,-35.2489,33,NA
Parnamirim,2025-03-03 11:00:00,-5.93898,-35.266639,34.7,NA
Ponta Negra,2025-03-03 11:00:00,-5.87605,-35.17857,31.7,70.2
Oceanografia,2025-03-03 11:00:00,-5.79524,-35.18359,35.4,60.7
Alecrim,2025-03-03 12:00:00,-5.79807,-35.21727,32.1,64.1
DIM,2025-03-03 12:00:00,-5.87995,-35.29499,32.2,NA
EAJ,2025-03-03 12:00:00,-5.88395,-35.36455,37,53.6
Extremoz,2025-03-03 12:00:00,-5.66732,-35.29729,34.7,NA
Felipe camarao,2025-03-03 12:00:00,-5.82232,-35.26118,32.5,60.2
IF Central,2025-03-03 12:00:00,-5.81187,-35.20221,34.1,65.1
IFZN,2025-03-03 12:00:00,-5.74779,-35.26025,32.6,58.6
Lagoa Azul,2025-03-03 12:00:00,-5.72888,-35.2489,32.8,NA
Parnamirim,2025-03-03 12:00:00,-5.93898,-35.266639,35.4,NA
Ponta Negra,2025-03-03 12:00:00,-5.87605,-35.17857,30.8,73
Oceanografia,2025-03-03 12:00:00,-5.79524,-35.18359,35.4,59.2
Alecrim,2025-03-03 13:00:00,-5.79807,-35.21727,31.2,64.4
DIM,2025-03-03 13:00:00,-5.87995,-35.29499,33.6,NA
EAJ,2025-03-03 13:00:00,-5.88395,-35.36455,30.9,83.1
Extremoz,2025-03-03 13:00:00,-5.66732,-35.29729,31.9,NA
Felipe camarao,2025-03-03 13:00:00,-5.82232,-35.26118,32.2,59.8
IF Central,2025-03-03 13:00:00,-5.81187,-35.20221,32.5,69.7
IFZN,2025-03-03 13:00:00,-5.74779,-35.26025,31.6,61.6
Lagoa Azul,2025-03-03 13:00:00,-5.72888,-35.2489,32.6,NA
Parnamirim,2025-03-03 13:00:00,-5.93898,-35.266639,33.4,NA
Ponta Negra,2025-03-03 13:00:00,-5.87605,-35.17857,29.7,74.6
Oceanografia,2025-03-03 13:00:00,-5.79524,-35.18359,33.5,61.8
Alecrim,2025-03-03 14:00:00,-5.79807,-35.21727,31.3,66.2
DIM,2025-03-03 14:00:00,-5.87995,-35.29499,37.2,NA
EAJ,2025-03-03 14:00:00,-5.88395,-35.36455,33.4,69.9
Extremoz,2025-03-03 14:00:00,-5.66732,-35.29729,33.2,NA
Felipe camarao,2025-03-03 14:00:00,-5.82232,-35.26118,32.7,60.3
IF Central,2025-03-03 14:00:00,-5.81187,-35.20221,34.8,62.7
IFZN,2025-03-03 14:00:00,-5.74779,-35.26025,32,60.6
Lagoa Azul,2025-03-03 14:00:00,-5.72888,-35.2489,32.3,NA
Parnamirim,2025-03-03 14:00:00,-5.93898,-35.266639,32.8,NA
Ponta Negra,2025-03-03 14:00:00,-5.87605,-35.17857,30,72.8
Oceanografia,2025-03-03 14:00:00,-5.79524,-35.18359,35.9,49.9
Alecrim,2025-03-03 15:00:00,-5.79807,-35.21727,30.6,68.6
DIM,2025-03-03 15:00:00,-5.87995,-35.29499,32.7,NA
EAJ,2025-03-03 15:00:00,-5.88395,-35.36455,36.2,60.9
Extremoz,2025-03-03 15:00:00,-5.66732,-35.29729,31.9,NA
Felipe camarao,2025-03-03 15:00:00,-5.82232,-35.26118,30.2,69.8
IF Central,2025-03-03 15:00:00,-5.81187,-35.20221,33.2,67
IFZN,2025-03-03 15:00:00,-5.74779,-35.26025,30.7,63.1
Lagoa Azul,2025-03-03 15:00:00,-5.72888,-35.2489,34,NA
Parnamirim,2025-03-03 15:00:00,-5.93898,-35.266639,34.1,NA
Ponta Negra,2025-03-03 15:00:00,-5.87605,-35.17857,29.6,76.2
Oceanografia,2025-03-03 15:00:00,-5.79524,-35.18359,35.1,50.5
Alecrim,2025-03-03 16:00:00,-5.79807,-35.21727,30.2,68.4
DIM,2025-03-03 16:00:00,-5.87995,-35.29499,32.6,NA
EAJ,2025-03-03 16:00:00,-5.88395,-35.36455,34.7,60.6
Extremoz,2025-03-03 16:00:00,-5.66732,-35.29729,31.2,NA
Felipe camarao,2025-03-03 16:00:00,-5.82232,-35.26118,30.2,66.7
IF Central,2025-03-03 16:00:00,-5.81187,-35.20221,32.7,67.9
IFZN,2025-03-03 16:00:00,-5.74779,-35.26025,31,60.2
Lagoa Azul,2025-03-03 16:00:00,-5.72888,-35.2489,31.9,NA
Parnamirim,2025-03-03 16:00:00,-5.93898,-35.266639,32.8,NA
Ponta Negra,2025-03-03 16:00:00,-5.87605,-35.17857,29.4,76.1
Oceanografia,2025-03-03 16:00:00,-5.79524,-35.18359,34.4,51.7
Alecrim,2025-03-03 17:00:00,-5.79807,-35.21727,28.2,72.1
DIM,2025-03-03 17:00:00,-5.87995,-35.29499,26.9,NA
EAJ,2025-03-03 17:00:00,-5.88395,-35.36455,27.5,80.2
Extremoz,2025-03-03 17:00:00,-5.66732,-35.29729,29.6,NA
Felipe camarao,2025-03-03 17:00:00,-5.82232,-35.26118,27.3,79.7
IF Central,2025-03-03 17:00:00,-5.81187,-35.20221,27.3,84.9
IFZN,2025-03-03 17:00:00,-5.74779,-35.26025,29,67.8
Lagoa Azul,2025-03-03 17:00:00,-5.72888,-35.2489,28.4,NA
Parnamirim,2025-03-03 17:00:00,-5.93898,-35.266639,28.3,NA
Ponta Negra,2025-03-03 17:00:00,-5.87605,-35.17857,24.8,97.1
Oceanografia,2025-03-03 17:00:00,-5.79524,-35.18359,28.4,74.2
Alecrim,2025-03-03 18:00:00,-5.79807,-35.21727,28.2,76.9
DIM,2025-03-03 18:00:00,-5.87995,-35.29499,27,NA
EAJ,2025-03-03 18:00:00,-5.88395,-35.36455,26.1,88.8
Extremoz,2025-03-03 18:00:00,-5.66732,-35.29729,28,NA
Felipe camarao,2025-03-03 18:00:00,-5.82232,-35.26118,27.8,80
IF Central,2025-03-03 18:00:00,-5.81187,-35.20221,28.3,84.9
IFZN,2025-03-03 18:00:00,-5.74779,-35.26025,28.6,70.7
Lagoa Azul,2025-03-03 18:00:00,-5.72888,-35.2489,28.1,NA
Parnamirim,2025-03-03 18:00:00,-5.93898,-35.266639,28,NA
Ponta Negra,2025-03-03 18:00:00,-5.87605,-35.17857,27.2,NA
Oceanografia,2025-03-03 18:00:00,-5.79524,-35.18359,29,80.7
Alecrim,2025-03-03 19:00:00,-5.79807,-35.21727,28.4,77
DIM,2025-03-03 19:00:00,-5.87995,-35.29499,25.4,NA
EAJ,2025-03-03 19:00:00,-5.88395,-35.36455,25.6,89.8
Extremoz,2025-03-03 19:00:00,-5.66732,-35.29729,27.7,NA
Felipe camarao,2025-03-03 19:00:00,-5.82232,-35.26118,27.3,81.6
IF Central,2025-03-03 19:00:00,-5.81187,-35.20221,28.3,81.7
IFZN,2025-03-03 19:00:00,-5.74779,-35.26025,28.6,74.4
Lagoa Azul,2025-03-03 19:00:00,-5.72888,-35.2489,28.2,NA
Parnamirim,2025-03-03 19:00:00,-5.93898,-35.266639,25,NA
Ponta Negra,2025-03-03 19:00:00,-5.87605,-35.17857,27.3,NA
Oceanografia,2025-03-03 19:00:00,-5.79524,-35.18359,29.3,78.9
Alecrim,2025-03-03 20:00:00,-5.79807,-35.21727,26.6,84.2
DIM,2025-03-03 20:00:00,-5.87995,-35.29499,25,NA
EAJ,2025-03-03 20:00:00,-5.88395,-35.36455,24.5,93.1
Extremoz,2025-03-03 20:00:00,-5.66732,-35.29729,27,NA
Felipe camarao,2025-03-03 20:00:00,-5.82232,-35.26118,26,84.8
IF Central,2025-03-03 20:00:00,-5.81187,-35.20221,26.5,89.3
IFZN,2025-03-03 20:00:00,-5.74779,-35.26025,27.1,78.3
Lagoa Azul,2025-03-03 20:00:00,-5.72888,-35.2489,26.9,NA
Parnamirim,2025-03-03 20:00:00,-5.93898,-35.266639,24.9,NA
Ponta Negra,2025-03-03 20:00:00,-5.87605,-35.17857,25.9,NA
Oceanografia,2025-03-03 20:00:00,-5.79524,-35.18359,27.6,85.2
Alecrim,2025-03-03 21:00:00,-5.79807,-35.21727,27,85.3
DIM,2025-03-03 21:00:00,-5.87995,-35.29499,25,NA
EAJ,2025-03-03 21:00:00,-5.88395,-35.36455,24.3,94.5
Extremoz,2025-03-03 21:00:00,-5.66732,-35.29729,26.4,NA
Felipe camarao,2025-03-03 21:00:00,-5.82232,-35.26118,26.2,86.2
IF Central,2025-03-03 21:00:00,-5.81187,-35.20221,26.9,91.1
IFZN,2025-03-03 21:00:00,-5.74779,-35.26025,27.1,79.2
Lagoa Azul,2025-03-03 21:00:00,-5.72888,-35.2489,26.8,NA
Parnamirim,2025-03-03 21:00:00,-5.93898,-35.266639,25.1,NA
Ponta Negra,2025-03-03 21:00:00,-5.87605,-35.17857,26.7,NA
Oceanografia,2025-03-03 21:00:00,-5.79524,-35.18359,28.7,83.7
Alecrim,2025-03-03 22:00:00,-5.79807,-35.21727,27.3,78.7
DIM,2025-03-03 22:00:00,-5.87995,-35.29499,24.6,NA
EAJ,2025-03-03 22:00:00,-5.88395,-35.36455,24.8,94
Extremoz,2025-03-03 22:00:00,-5.66732,-35.29729,25.2,NA
Felipe camarao,2025-03-03 22:00:00,-5.82232,-35.26118,25.9,88
IF Central,2025-03-03 22:00:00,-5.81187,-35.20221,27.4,85.2
IFZN,2025-03-03 22:00:00,-5.74779,-35.26025,27.6,73.8
Lagoa Azul,2025-03-03 22:00:00,-5.72888,-35.2489,27.3,NA
Parnamirim,2025-03-03 22:00:00,-5.93898,-35.266639,25.1,NA
Ponta Negra,2025-03-03 22:00:00,-5.87605,-35.17857,27,NA
Oceanografia,2025-03-03 22:00:00,-5.79524,-35.18359,28.3,82.6
Alecrim,2025-03-03 23:00:00,-5.79807,-35.21727,26.6,86.4
DIM,2025-03-03 23:00:00,-5.87995,-35.29499,24.4,NA
EAJ,2025-03-03 23:00:00,-5.88395,-35.36455,23.9,96.9
Extremoz,2025-03-03 23:00:00,-5.66732,-35.29729,25.1,NA
Felipe camarao,2025-03-03 23:00:00,-5.82232,-35.26118,25.2,89.8
IF Central,2025-03-03 23:00:00,-5.81187,-35.20221,26.2,92
IFZN,2025-03-03 23:00:00,-5.74779,-35.26025,26.8,81
Lagoa Azul,2025-03-03 23:00:00,-5.72888,-35.2489,26.4,NA
Parnamirim,2025-03-03 23:00:00,-5.93898,-35.266639,24.6,NA
Ponta Negra,2025-03-03 23:00:00,-5.87605,-35.17857,25.5,NA
Oceanografia,2025-03-03 23:00:00,-5.79524,-35.18359,27.8,87.9
Alecrim,2025-03-04 00:00:00,-5.79807,-35.21727,25.8,87.8
DIM,2025-03-04 00:00:00,-5.87995,-35.29499,24.2,NA
EAJ,2025-03-04 00:00:00,-5.88395,-35.36455,24,97.4
Extremoz,2025-03-04 00:00:00,-5.66732,-35.29729,24.6,NA
Felipe camarao,2025-03-04 00:00:00,-5.82232,-35.26118,24.9,92.1
IF Central,2025-03-04 00:00:00,-5.81187,-35.20221,25.5,94.8
IFZN,2025-03-04 00:00:00,-5.74779,-35.26025,25.8,83.8
Lagoa Azul,2025-03-04 00:00:00,-5.72888,-35.2489,25.2,NA
Parnamirim,2025-03-04 00:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-03-04 00:00:00,-5.87605,-35.17857,25.2,NA
Oceanografia,2025-03-04 00:00:00,-5.79524,-35.18359,26.4,90.5
Alecrim,2025-03-04 01:00:00,-5.79807,-35.21727,25.1,92.7
DIM,2025-03-04 01:00:00,-5.87995,-35.29499,24.3,NA
EAJ,2025-03-04 01:00:00,-5.88395,-35.36455,24.1,97.8
Extremoz,2025-03-04 01:00:00,-5.66732,-35.29729,24.4,NA
Felipe camarao,2025-03-04 01:00:00,-5.82232,-35.26118,24.7,95.4
IF Central,2025-03-04 01:00:00,-5.81187,-35.20221,25.2,98.4
IFZN,2025-03-04 01:00:00,-5.74779,-35.26025,25.2,87.4
Lagoa Azul,2025-03-04 01:00:00,-5.72888,-35.2489,24.9,NA
Parnamirim,2025-03-04 01:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-03-04 01:00:00,-5.87605,-35.17857,24.5,NA
Oceanografia,2025-03-04 01:00:00,-5.79524,-35.18359,25.9,94.3
Alecrim,2025-03-04 02:00:00,-5.79807,-35.21727,25,93.5
DIM,2025-03-04 02:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-03-04 02:00:00,-5.88395,-35.36455,24.1,98.1
Extremoz,2025-03-04 02:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-04 02:00:00,-5.82232,-35.26118,24.5,94.8
IF Central,2025-03-04 02:00:00,-5.81187,-35.20221,24.9,98.8
IFZN,2025-03-04 02:00:00,-5.74779,-35.26025,24.9,91.3
Lagoa Azul,2025-03-04 02:00:00,-5.72888,-35.2489,24.4,NA
Parnamirim,2025-03-04 02:00:00,-5.93898,-35.266639,24.5,NA
Ponta Negra,2025-03-04 02:00:00,-5.87605,-35.17857,24.5,NA
Oceanografia,2025-03-04 02:00:00,-5.79524,-35.18359,NA,NA
Alecrim,2025-03-04 03:00:00,-5.79807,-35.21727,25.1,92.8
DIM,2025-03-04 03:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-03-04 03:00:00,-5.88395,-35.36455,23.9,98.2
Extremoz,2025-03-04 03:00:00,-5.66732,-35.29729,24.1,NA
Felipe camarao,2025-03-04 03:00:00,-5.82232,-35.26118,24.5,94.9
IF Central,2025-03-04 03:00:00,-5.81187,-35.20221,25,98.6
IFZN,2025-03-04 03:00:00,-5.74779,-35.26025,24.9,91.4
Lagoa Azul,2025-03-04 03:00:00,-5.72888,-35.2489,24.3,NA
Parnamirim,2025-03-04 03:00:00,-5.93898,-35.266639,24.3,NA
Ponta Negra,2025-03-04 03:00:00,-5.87605,-35.17857,24.4,NA
Oceanografia,2025-03-04 03:00:00,-5.79524,-35.18359,NA,NA
Alecrim,2025-03-04 04:00:00,-5.79807,-35.21727,24.9,93.7
DIM,2025-03-04 04:00:00,-5.87995,-35.29499,23.8,NA
EAJ,2025-03-04 04:00:00,-5.88395,-35.36455,23.8,98.1
Extremoz,2025-03-04 04:00:00,-5.66732,-35.29729,24,NA
Felipe camarao,2025-03-04 04:00:00,-5.82232,-35.26118,24.4,95.5
IF Central,2025-03-04 04:00:00,-5.81187,-35.20221,24.8,99.3
IFZN,2025-03-04 04:00:00,-5.74779,-35.26025,24.8,91.5
Lagoa Azul,2025-03-04 04:00:00,-5.72888,-35.2489,24.3,NA
Parnamirim,2025-03-04 04:00:00,-5.93898,-35.266639,24,NA
Ponta Negra,2025-03-04 04:00:00,-5.87605,-35.17857,24.3,NA
Oceanografia,2025-03-04 04:00:00,-5.79524,-35.18359,NA,NA
Alecrim,2025-03-04 05:00:00,-5.79807,-35.21727,25,93.3
DIM,2025-03-04 05:00:00,-5.87995,-35.29499,23.6,NA
EAJ,2025-03-04 05:00:00,-5.88395,-35.36455,23.6,98.9
Extremoz,2025-03-04 05:00:00,-5.66732,-35.29729,23.9,NA
Felipe camarao,2025-03-04 05:00:00,-5.82232,-35.26118,24.3,95.3
IF Central,2025-03-04 05:00:00,-5.81187,-35.20221,24.7,99.5
IFZN,2025-03-04 05:00:00,-5.74779,-35.26025,24.7,91.6
Lagoa Azul,2025-03-04 05:00:00,-5.72888,-35.2489,24.2,NA
Parnamirim,2025-03-04 05:00:00,-5.93898,-35.266639,23.9,NA
Ponta Negra,2025-03-04 05:00:00,-5.87605,-35.17857,24.5,NA
Oceanografia,2025-03-04 05:00:00,-5.79524,-35.18359,NA,NA
Alecrim,2025-03-04 06:00:00,-5.79807,-35.21727,25.1,93.3
DIM,2025-03-04 06:00:00,-5.87995,-35.29499,24,NA
EAJ,2025-03-04 06:00:00,-5.88395,-35.36455,23.7,99.2
Extremoz,2025-03-04 06:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-04 06:00:00,-5.82232,-35.26118,24.4,95.4
IF Central,2025-03-04 06:00:00,-5.81187,-35.20221,25,99
IFZN,2025-03-04 06:00:00,-5.74779,-35.26025,24.8,91.7
Lagoa Azul,2025-03-04 06:00:00,-5.72888,-35.2489,24.7,NA
Parnamirim,2025-03-04 06:00:00,-5.93898,-35.266639,24.3,NA
Ponta Negra,2025-03-04 06:00:00,-5.87605,-35.17857,24.4,NA
Oceanografia,2025-03-04 06:00:00,-5.79524,-35.18359,NA,NA
Alecrim,2025-03-04 07:00:00,-5.79807,-35.21727,25.4,91.4
DIM,2025-03-04 07:00:00,-5.87995,-35.29499,25.2,NA
EAJ,2025-03-04 07:00:00,-5.88395,-35.36455,26.6,93.6
Extremoz,2025-03-04 07:00:00,-5.66732,-35.29729,25.2,NA
Felipe camarao,2025-03-04 07:00:00,-5.82232,-35.26118,25.2,94.1
IF Central,2025-03-04 07:00:00,-5.81187,-35.20221,25.3,98
IFZN,2025-03-04 07:00:00,-5.74779,-35.26025,25.7,91.6
Lagoa Azul,2025-03-04 07:00:00,-5.72888,-35.2489,25.6,NA
Parnamirim,2025-03-04 07:00:00,-5.93898,-35.266639,28.2,NA
Ponta Negra,2025-03-04 07:00:00,-5.87605,-35.17857,24.9,NA
Oceanografia,2025-03-04 07:00:00,-5.79524,-35.18359,NA,NA
Alecrim,2025-03-04 08:00:00,-5.79807,-35.21727,27.3,82.9
DIM,2025-03-04 08:00:00,-5.87995,-35.29499,28.2,NA
EAJ,2025-03-04 08:00:00,-5.88395,-35.36455,32.1,69.7
Extremoz,2025-03-04 08:00:00,-5.66732,-35.29729,30.8,NA
Felipe camarao,2025-03-04 08:00:00,-5.82232,-35.26118,27.7,83.1
IF Central,2025-03-04 08:00:00,-5.81187,-35.20221,26.4,95.1
IFZN,2025-03-04 08:00:00,-5.74779,-35.26025,29,87.4
Lagoa Azul,2025-03-04 08:00:00,-5.72888,-35.2489,26.6,NA
Parnamirim,2025-03-04 08:00:00,-5.93898,-35.266639,29.2,NA
Ponta Negra,2025-03-04 08:00:00,-5.87605,-35.17857,26.3,NA
