station,date,Latitude,Longitude,airT,ur
IF Central,2025-02-28 06:00:00,-5.81187,-35.20221,24.9,98.2
IFZN,2025-02-28 06:00:00,-5.74779,-35.26025,24.9,87.6
Lagoa Azul,2025-02-28 06:00:00,-5.72888,-35.2489,24.5,NA
Parnamirim,2025-02-28 06:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-02-28 06:00:00,-5.87605,-35.17857,24.9,93.1
Oceanografia,2025-02-28 06:00:00,-5.79524,-35.18359,26.2,91.8
Alecrim,2025-02-28 07:00:00,-5.79807,-35.21727,26.6,89
DIM,2025-02-28 07:00:00,-5.87995,-35.29499,26.3,NA
EAJ,2025-02-28 07:00:00,-5.88395,-35.36455,25.8,98.2
Extremoz,2025-02-28 07:00:00,-5.66732,-35.29729,25.3,NA
Felipe camarao,2025-02-28 07:00:00,-5.82232,-35.26118,25.7,91.1
IF Central,2025-02-28 07:00:00,-5.81187,-35.20221,25.9,96.6
IFZN,2025-02-28 07:00:00,-5.74779,-35.26025,27.4,84.5
Lagoa Azul,2025-02-28 07:00:00,-5.72888,-35.2489,25.9,NA
Parnamirim,2025-02-28 07:00:00,-5.93898,-35.266639,27.6,NA
Ponta Negra,2025-02-28 07:00:00,-5.87605,-35.17857,25.9,91.2
Oceanografia,2025-02-28 07:00:00,-5.79524,-35.18359,28,87.6
Alecrim,2025-02-28 08:00:00,-5.79807,-35.21727,28.2,82.3
DIM,2025-02-28 08:00:00,-5.87995,-35.29499,28.8,NA
EAJ,2025-02-28 08:00:00,-5.88395,-35.36455,30,78.6
Extremoz,2025-02-28 08:00:00,-5.66732,-35.29729,27.4,NA
Felipe camarao,2025-02-28 08:00:00,-5.82232,-35.26118,27.6,85
IF Central,2025-02-28 08:00:00,-5.81187,-35.20221,28,89.7
IFZN,2025-02-28 08:00:00,-5.74779,-35.26025,28.1,80.7
Lagoa Azul,2025-02-28 08:00:00,-5.72888,-35.2489,28,NA
Parnamirim,2025-02-28 08:00:00,-5.93898,-35.266639,29.9,NA
Ponta Negra,2025-02-28 08:00:00,-5.87605,-35.17857,28.1,83.8
Oceanografia,2025-02-28 08:00:00,-5.79524,-35.18359,29.9,81
Alecrim,2025-02-28 09:00:00,-5.79807,-35.21727,26.4,85.3
DIM,2025-02-28 09:00:00,-5.87995,-35.29499,28.6,NA
EAJ,2025-02-28 09:00:00,-5.88395,-35.36455,32.5,71.6
Extremoz,2025-02-28 09:00:00,-5.66732,-35.29729,32,NA
Felipe camarao,2025-02-28 09:00:00,-5.82232,-35.26118,27.3,88.8
IF Central,2025-02-28 09:00:00,-5.81187,-35.20221,27.4,94.7
IFZN,2025-02-28 09:00:00,-5.74779,-35.26025,27,84.9
Lagoa Azul,2025-02-28 09:00:00,-5.72888,-35.2489,29.3,NA
Parnamirim,2025-02-28 09:00:00,-5.93898,-35.266639,30.6,NA
Ponta Negra,2025-02-28 09:00:00,-5.87605,-35.17857,28.5,79.9
Oceanografia,2025-02-28 09:00:00,-5.79524,-35.18359,33.1,73.3
Alecrim,2025-02-28 10:00:00,-5.79807,-35.21727,29.9,71.3
DIM,2025-02-28 10:00:00,-5.87995,-35.29499,28.8,NA
EAJ,2025-02-28 10:00:00,-5.88395,-35.36455,30.2,76.6
Extremoz,2025-02-28 10:00:00,-5.66732,-35.29729,31.2,NA
Felipe camarao,2025-02-28 10:00:00,-5.82232,-35.26118,27.9,80.6
IF Central,2025-02-28 10:00:00,-5.81187,-35.20221,30,84.1
IFZN,2025-02-28 10:00:00,-5.74779,-35.26025,29.6,70
Lagoa Azul,2025-02-28 10:00:00,-5.72888,-35.2489,31.1,NA
Parnamirim,2025-02-28 10:00:00,-5.93898,-35.266639,30.1,NA
Ponta Negra,2025-02-28 10:00:00,-5.87605,-35.17857,28.1,82.6
Oceanografia,2025-02-28 10:00:00,-5.79524,-35.18359,30.1,76
Alecrim,2025-02-28 11:00:00,-5.79807,-35.21727,31.4,70.3
DIM,2025-02-28 11:00:00,-5.87995,-35.29499,30.2,NA
EAJ,2025-02-28 11:00:00,-5.88395,-35.36455,29.3,85.4
Extremoz,2025-02-28 11:00:00,-5.66732,-35.29729,33,NA
Felipe camarao,2025-02-28 11:00:00,-5.82232,-35.26118,29.9,74
IF Central,2025-02-28 11:00:00,-5.81187,-35.20221,32.5,75.1
IFZN,2025-02-28 11:00:00,-5.74779,-35.26025,30.4,71.7
Lagoa Azul,2025-02-28 11:00:00,-5.72888,-35.2489,33.7,NA
Parnamirim,2025-02-28 11:00:00,-5.93898,-35.266639,32.3,NA
Ponta Negra,2025-02-28 11:00:00,-5.87605,-35.17857,30.7,71.6
Oceanografia,2025-02-28 11:00:00,-5.79524,-35.18359,32.7,73.7
Alecrim,2025-02-28 12:00:00,-5.79807,-35.21727,31.6,68.1
DIM,2025-02-28 12:00:00,-5.87995,-35.29499,32.6,NA
EAJ,2025-02-28 12:00:00,-5.88395,-35.36455,33.6,68.9
Extremoz,2025-02-28 12:00:00,-5.66732,-35.29729,33.3,NA
Felipe camarao,2025-02-28 12:00:00,-5.82232,-35.26118,31.4,66.5
IF Central,2025-02-28 12:00:00,-5.81187,-35.20221,33.6,66.8
IFZN,2025-02-28 12:00:00,-5.74779,-35.26025,31.4,65.7
Lagoa Azul,2025-02-28 12:00:00,-5.72888,-35.2489,33.7,NA
Parnamirim,2025-02-28 12:00:00,-5.93898,-35.266639,32.8,NA
Ponta Negra,2025-02-28 12:00:00,-5.87605,-35.17857,30,74.3
Oceanografia,2025-02-28 12:00:00,-5.79524,-35.18359,34.5,62.6
Alecrim,2025-02-28 13:00:00,-5.79807,-35.21727,31.4,66.6
DIM,2025-02-28 13:00:00,-5.87995,-35.29499,34.8,NA
EAJ,2025-02-28 13:00:00,-5.88395,-35.36455,37.8,57.9
Extremoz,2025-02-28 13:00:00,-5.66732,-35.29729,32.6,NA
Felipe camarao,2025-02-28 13:00:00,-5.82232,-35.26118,31.5,65.1
IF Central,2025-02-28 13:00:00,-5.81187,-35.20221,33.2,68.7
IFZN,2025-02-28 13:00:00,-5.74779,-35.26025,31.6,62.5
Lagoa Azul,2025-02-28 13:00:00,-5.72888,-35.2489,34.3,NA
Parnamirim,2025-02-28 13:00:00,-5.93898,-35.266639,34.9,NA
Ponta Negra,2025-02-28 13:00:00,-5.87605,-35.17857,30.7,73.6
Oceanografia,2025-02-28 13:00:00,-5.79524,-35.18359,36.1,55.4
Alecrim,2025-02-28 14:00:00,-5.79807,-35.21727,30.8,66.6
DIM,2025-02-28 14:00:00,-5.87995,-35.29499,32.8,NA
EAJ,2025-02-28 14:00:00,-5.88395,-35.36455,37.3,60.3
Extremoz,2025-02-28 14:00:00,-5.66732,-35.29729,32.4,NA
Felipe camarao,2025-02-28 14:00:00,-5.82232,-35.26118,31.1,64.6
IF Central,2025-02-28 14:00:00,-5.81187,-35.20221,34.2,65.3
IFZN,2025-02-28 14:00:00,-5.74779,-35.26025,30.8,67
Lagoa Azul,2025-02-28 14:00:00,-5.72888,-35.2489,32.1,NA
Parnamirim,2025-02-28 14:00:00,-5.93898,-35.266639,32.7,NA
Ponta Negra,2025-02-28 14:00:00,-5.87605,-35.17857,29.7,74.6
Oceanografia,2025-02-28 14:00:00,-5.79524,-35.18359,35.1,52.7
Alecrim,2025-02-28 15:00:00,-5.79807,-35.21727,29.4,75
DIM,2025-02-28 15:00:00,-5.87995,-35.29499,32.1,NA
EAJ,2025-02-28 15:00:00,-5.88395,-35.36455,34.5,63.9
Extremoz,2025-02-28 15:00:00,-5.66732,-35.29729,30.1,NA
Felipe camarao,2025-02-28 15:00:00,-5.82232,-35.26118,29.4,73.6
IF Central,2025-02-28 15:00:00,-5.81187,-35.20221,30.1,79.5
IFZN,2025-02-28 15:00:00,-5.74779,-35.26025,29.5,70.6
Lagoa Azul,2025-02-28 15:00:00,-5.72888,-35.2489,30.8,NA
Parnamirim,2025-02-28 15:00:00,-5.93898,-35.266639,31.3,NA
Ponta Negra,2025-02-28 15:00:00,-5.87605,-35.17857,27.7,83
Oceanografia,2025-02-28 15:00:00,-5.79524,-35.18359,30.5,72
Alecrim,2025-02-28 16:00:00,-5.79807,-35.21727,28.8,74.8
DIM,2025-02-28 16:00:00,-5.87995,-35.29499,30.2,NA
EAJ,2025-02-28 16:00:00,-5.88395,-35.36455,30.7,72.6
Extremoz,2025-02-28 16:00:00,-5.66732,-35.29729,28.9,NA
Felipe camarao,2025-02-28 16:00:00,-5.82232,-35.26118,29,74.4
IF Central,2025-02-28 16:00:00,-5.81187,-35.20221,29.5,78.1
IFZN,2025-02-28 16:00:00,-5.74779,-35.26025,28.5,71.5
Lagoa Azul,2025-02-28 16:00:00,-5.72888,-35.2489,29.3,NA
Parnamirim,2025-02-28 16:00:00,-5.93898,-35.266639,29.9,NA
Ponta Negra,2025-02-28 16:00:00,-5.87605,-35.17857,27.7,79.7
Oceanografia,2025-02-28 16:00:00,-5.79524,-35.18359,29.8,72.4
Alecrim,2025-02-28 17:00:00,-5.79807,-35.21727,28.3,78.7
DIM,2025-02-28 17:00:00,-5.87995,-35.29499,28.1,NA
EAJ,2025-02-28 17:00:00,-5.88395,-35.36455,28.4,79.7
Extremoz,2025-02-28 17:00:00,-5.66732,-35.29729,27.5,NA
Felipe camarao,2025-02-28 17:00:00,-5.82232,-35.26118,28.1,76.2
IF Central,2025-02-28 17:00:00,-5.81187,-35.20221,28.2,83.7
IFZN,2025-02-28 17:00:00,-5.74779,-35.26025,28,74.7
Lagoa Azul,2025-02-28 17:00:00,-5.72888,-35.2489,28,NA
Parnamirim,2025-02-28 17:00:00,-5.93898,-35.266639,27.9,NA
Ponta Negra,2025-02-28 17:00:00,-5.87605,-35.17857,27.2,80.7
Oceanografia,2025-02-28 17:00:00,-5.79524,-35.18359,28.6,81.2
Alecrim,2025-02-28 18:00:00,-5.79807,-35.21727,27.4,80.6
DIM,2025-02-28 18:00:00,-5.87995,-35.29499,26.5,NA
EAJ,2025-02-28 18:00:00,-5.88395,-35.36455,25.8,88.1
Extremoz,2025-02-28 18:00:00,-5.66732,-35.29729,26.6,NA
Felipe camarao,2025-02-28 18:00:00,-5.82232,-35.26118,27.4,80.2
IF Central,2025-02-28 18:00:00,-5.81187,-35.20221,27.6,86.4
IFZN,2025-02-28 18:00:00,-5.74779,-35.26025,27.4,77
Lagoa Azul,2025-02-28 18:00:00,-5.72888,-35.2489,27,NA
Parnamirim,2025-02-28 18:00:00,-5.93898,-35.266639,26.7,NA
Ponta Negra,2025-02-28 18:00:00,-5.87605,-35.17857,27.3,84
Oceanografia,2025-02-28 18:00:00,-5.79524,-35.18359,27.8,84.7
Alecrim,2025-02-28 19:00:00,-5.79807,-35.21727,27.8,77.7
DIM,2025-02-28 19:00:00,-5.87995,-35.29499,26.4,NA
EAJ,2025-02-28 19:00:00,-5.88395,-35.36455,24.8,94
Extremoz,2025-02-28 19:00:00,-5.66732,-35.29729,26.3,NA
Felipe camarao,2025-02-28 19:00:00,-5.82232,-35.26118,27.4,78.6
IF Central,2025-02-28 19:00:00,-5.81187,-35.20221,27.6,84.3
IFZN,2025-02-28 19:00:00,-5.74779,-35.26025,26.3,82
Lagoa Azul,2025-02-28 19:00:00,-5.72888,-35.2489,25.9,NA
Parnamirim,2025-02-28 19:00:00,-5.93898,-35.266639,26.4,NA
Ponta Negra,2025-02-28 19:00:00,-5.87605,-35.17857,27.6,80.7
Oceanografia,2025-02-28 19:00:00,-5.79524,-35.18359,28.3,79.5
Alecrim,2025-02-28 20:00:00,-5.79807,-35.21727,27.7,77.9
DIM,2025-02-28 20:00:00,-5.87995,-35.29499,24.2,NA
EAJ,2025-02-28 20:00:00,-5.88395,-35.36455,24.8,93.4
Extremoz,2025-02-28 20:00:00,-5.66732,-35.29729,26,NA
Felipe camarao,2025-02-28 20:00:00,-5.82232,-35.26118,25,88
IF Central,2025-02-28 20:00:00,-5.81187,-35.20221,27.4,85.9
IFZN,2025-02-28 20:00:00,-5.74779,-35.26025,26.9,79.1
Lagoa Azul,2025-02-28 20:00:00,-5.72888,-35.2489,26.4,NA
Parnamirim,2025-02-28 20:00:00,-5.93898,-35.266639,24.2,NA
Ponta Negra,2025-02-28 20:00:00,-5.87605,-35.17857,26.4,83.3
Oceanografia,2025-02-28 20:00:00,-5.79524,-35.18359,28.1,81.3
