date,station,airT,Longitude,Latitude
2014-10-05T10:00:00Z,PAR,22.3,-37.05311,-10.88105
2014-10-05T11:00:00Z,PAR,23.2,-37.05311,-10.88105
2014-10-05T12:00:00Z,PAR,22.6,-37.05311,-10.88105
2014-10-05T13:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-05T14:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-05T15:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-05T16:00:00Z,PAR,24.9,-37.05311,-10.88105
2014-10-05T17:00:00Z,PAR,25.6,-37.05311,-10.88105
2014-10-05T18:00:00Z,PAR,25.2,-37.05311,-10.88105
2014-10-05T19:00:00Z,PAR,25.1,-37.05311,-10.88105
2014-10-05T20:00:00Z,PAR,25.2,-37.05311,-10.88105
2014-10-05T21:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-05T22:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-05T23:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-06T00:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-06T01:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-06T02:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-06T03:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-06T04:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-06T05:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-06T06:00:00Z,PAR,23.6,-37.05311,-10.88105
2014-10-06T07:00:00Z,PAR,21.9,-37.05311,-10.88105
2014-10-06T08:00:00Z,PAR,22,-37.05311,-10.88105
2014-10-06T09:00:00Z,PAR,22.7,-37.05311,-10.88105
2014-10-06T10:00:00Z,PAR,23.2,-37.05311,-10.88105
2014-10-06T11:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-06T12:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-06T13:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-06T14:00:00Z,PAR,24.7,-37.05311,-10.88105
2014-10-06T15:00:00Z,PAR,25.2,-37.05311,-10.88105
2014-10-06T16:00:00Z,PAR,25.6,-37.05311,-10.88105
2014-10-06T17:00:00Z,PAR,25.9,-37.05311,-10.88105
2014-10-06T18:00:00Z,PAR,26.3,-37.05311,-10.88105
2014-10-06T19:00:00Z,PAR,23,-37.05311,-10.88105
2014-10-06T20:00:00Z,PAR,24.7,-37.05311,-10.88105
2014-10-06T21:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-06T22:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-06T23:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-07T00:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-07T01:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-07T02:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-07T03:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-07T04:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-07T05:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-07T06:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-07T07:00:00Z,PAR,21.4,-37.05311,-10.88105
2014-10-07T08:00:00Z,PAR,22.2,-37.05311,-10.88105
2014-10-07T09:00:00Z,PAR,22.9,-37.05311,-10.88105
2014-10-07T10:00:00Z,PAR,23.1,-37.05311,-10.88105
2014-10-07T11:00:00Z,PAR,21.8,-37.05311,-10.88105
2014-10-07T12:00:00Z,PAR,22.1,-37.05311,-10.88105
2014-10-07T13:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-07T14:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-07T15:00:00Z,PAR,24.5,-37.05311,-10.88105
2014-10-07T16:00:00Z,PAR,24.9,-37.05311,-10.88105
2014-10-07T17:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-07T18:00:00Z,PAR,22.5,-37.05311,-10.88105
2014-10-07T19:00:00Z,PAR,22.4,-37.05311,-10.88105
2014-10-07T20:00:00Z,PAR,21.7,-37.05311,-10.88105
2014-10-07T21:00:00Z,PAR,21.8,-37.05311,-10.88105
2014-10-07T22:00:00Z,PAR,22.1,-37.05311,-10.88105
2014-10-07T23:00:00Z,PAR,21.7,-37.05311,-10.88105
2014-10-08T00:00:00Z,PAR,22,-37.05311,-10.88105
2014-10-08T01:00:00Z,PAR,21.6,-37.05311,-10.88105
2014-10-08T02:00:00Z,PAR,21.7,-37.05311,-10.88105
2014-10-08T03:00:00Z,PAR,22,-37.05311,-10.88105
2014-10-08T04:00:00Z,PAR,22.6,-37.05311,-10.88105
2014-10-08T05:00:00Z,PAR,22.3,-37.05311,-10.88105
2014-10-08T06:00:00Z,PAR,21.4,-37.05311,-10.88105
2014-10-08T07:00:00Z,PAR,22,-37.05311,-10.88105
2014-10-08T08:00:00Z,PAR,21.8,-37.05311,-10.88105
2014-10-08T09:00:00Z,PAR,21.5,-37.05311,-10.88105
2014-10-08T10:00:00Z,PAR,22.3,-37.05311,-10.88105
2014-10-08T11:00:00Z,PAR,21.4,-37.05311,-10.88105
2014-10-08T12:00:00Z,PAR,21.7,-37.05311,-10.88105
2014-10-08T13:00:00Z,PAR,22.7,-37.05311,-10.88105
2014-10-08T14:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-08T15:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-08T16:00:00Z,PAR,25.7,-37.05311,-10.88105
2014-10-08T17:00:00Z,PAR,26.4,-37.05311,-10.88105
2014-10-08T18:00:00Z,PAR,24.9,-37.05311,-10.88105
2014-10-08T19:00:00Z,PAR,26.1,-37.05311,-10.88105
2014-10-08T20:00:00Z,PAR,25.8,-37.05311,-10.88105
